control/mA	<Ewe>/V	
2.0000000E-002	1.1734492E+000
2.0000000E-002	1.1733463E+000
2.0000000E-002	1.1732498E+000
2.0000000E-002	1.1731412E+000
2.0000000E-002	1.1730423E+000
2.0000000E-002	1.1729461E+000
2.0000000E-002	1.1728487E+000
2.0000000E-002	1.1727517E+000
2.0000000E-002	1.1726495E+000
2.0000000E-002	1.1725366E+000
2.0000000E-002	1.1724337E+000
2.0000000E-002	1.1723325E+000
2.0000000E-002	1.1722360E+000
2.0000000E-002	1.1721385E+000
2.0000000E-002	1.1720287E+000
2.0000000E-002	1.1719316E+000
2.0000000E-002	1.1718293E+000
2.0000000E-002	1.1717296E+000
2.0000000E-002	1.1716368E+000
2.0000000E-002	1.1715412E+000
2.0000000E-002	1.1714416E+000
2.0000000E-002	1.1713357E+000
2.0000000E-002	1.1712327E+000
2.0000000E-002	1.1711332E+000
2.0000000E-002	1.1710370E+000
2.0000000E-002	1.1709410E+000
2.0000000E-002	1.1708431E+000
2.0000000E-002	1.1707356E+000
2.0000000E-002	1.1706444E+000
2.0000000E-002	1.1705471E+000
2.0000000E-002	1.1704564E+000
2.0000000E-002	1.1703631E+000
2.0000000E-002	1.1702627E+000
2.0000000E-002	1.1701634E+000
2.0000000E-002	1.1700624E+000
2.0000000E-002	1.1699642E+000
2.0000000E-002	1.1698709E+000
2.0000000E-002	1.1697717E+000
2.0000000E-002	1.1696783E+000
2.0000000E-002	1.1696007E+000
2.0000000E-002	1.1695789E+000
2.0000000E-002	1.1694827E+000
2.0000000E-002	1.1693884E+000
2.0000000E-002	1.1692966E+000
2.0000000E-002	1.1692048E+000
2.0000000E-002	1.1691138E+000
2.0000000E-002	1.1690176E+000
2.0000000E-002	1.1689258E+000
2.0000000E-002	1.1688269E+000
2.0000000E-002	1.1687270E+000
2.0000000E-002	1.1686364E+000
2.0000000E-002	1.1685418E+000
2.0000000E-002	1.1684490E+000
2.0000000E-002	1.1683584E+000
2.0000000E-002	1.1682731E+000
2.0000000E-002	1.1681750E+000
2.0000000E-002	1.1680889E+000
2.0000000E-002	1.1679996E+000
2.0000000E-002	1.1679149E+000
2.0000000E-002	1.1678112E+000
2.0000000E-002	1.1677282E+000
2.0000000E-002	1.1676178E+000
2.0000000E-002	1.1675308E+000
2.0000000E-002	1.1674342E+000
2.0000000E-002	1.1673399E+000
2.0000000E-002	1.1672497E+000
2.0000000E-002	1.1671613E+000
2.0000000E-002	1.1670667E+000
2.0000000E-002	1.1669769E+000
2.0000000E-002	1.1668757E+000
2.0000000E-002	1.1667961E+000
2.0000000E-002	1.1667049E+000
2.0000000E-002	1.1666192E+000
2.0000000E-002	1.1665335E+000
2.0000000E-002	1.1664416E+000
2.0000000E-002	1.1663377E+000
2.0000000E-002	1.1662481E+000
2.0000000E-002	1.1661582E+000
2.0000000E-002	1.1660714E+000
2.0000000E-002	1.1659820E+000
2.0000000E-002	1.1658858E+000
2.0000000E-002	1.1658049E+000
2.0000000E-002	1.1657076E+000
2.0000000E-002	1.1656225E+000
2.0000000E-002	1.1655394E+000
2.0000000E-002	1.1654457E+000
2.0000000E-002	1.1653575E+000
2.0000000E-002	1.1652678E+000
2.0000000E-002	1.1651800E+000
